"","newCol","tsDataF.NO2"
"625","03/05/2021 22",19
"626","03/05/2021 23",11
"627","03/05/2021 24",18
"628","03/06/2021 01",21
"629","03/06/2021 02",22
"630","03/06/2021 03",31
"631","03/06/2021 04",35
"632","03/06/2021 05",17
"633","03/06/2021 06",33
"634","03/06/2021 07",43
"635","03/06/2021 08",28
"636","03/06/2021 09",32
"637","03/06/2021 10",32
"638","03/06/2021 11",27
"639","03/06/2021 12",22
"640","03/06/2021 13",24
"641","03/06/2021 14",24
"642","03/06/2021 15",14
"643","03/06/2021 16",20
"644","03/06/2021 17",18
"645","03/06/2021 18",25
"646","03/06/2021 19",24
"647","03/06/2021 20",33
"648","03/06/2021 21",25
"649","03/06/2021 22",34
"650","03/06/2021 23",31
"651","03/06/2021 24",32
"652","03/08/2021 01",11
"653","03/08/2021 02",29
"654","03/08/2021 03",21
"655","03/08/2021 04",14
"656","03/08/2021 05",18
"657","03/08/2021 06",29
"658","03/08/2021 07",26
"659","03/08/2021 08",22
"660","03/08/2021 09",25
"661","03/08/2021 10",33
"662","03/08/2021 11",39
"663","03/08/2021 12",40
"664","03/08/2021 13",38
"665","03/08/2021 14",28
"666","03/08/2021 15",22
"667","03/08/2021 16",28
"668","03/08/2021 17",23
"669","03/08/2021 18",25
"670","03/08/2021 19",21
"671","03/08/2021 20",17
"672","03/08/2021 21",17
"673","03/08/2021 22",19
"674","03/08/2021 23",26
"675","03/08/2021 24",28
"676","03/09/2021 01",34
"677","03/09/2021 02",26
"678","03/09/2021 03",18
"679","03/09/2021 04",20
"680","03/09/2021 05",27
"681","03/09/2021 06",28
"682","03/09/2021 07",28
"683","03/09/2021 08",28
"684","03/09/2021 09",28
"685","03/09/2021 10",35
"686","03/09/2021 11",44
"687","03/09/2021 12",39
"688","03/09/2021 13",36
"689","03/09/2021 14",36
"690","03/09/2021 15",47
"691","03/09/2021 16",39
"692","03/09/2021 17",35
"693","03/09/2021 18",44
"694","03/09/2021 19",28
"695","03/09/2021 20",28
"696","03/09/2021 21",32
"697","03/09/2021 22",29
"698","03/09/2021 23",24
"699","03/09/2021 24",25
"700","03/10/2021 01",9
"701","03/10/2021 02",11
"702","03/10/2021 03",10
"703","03/10/2021 04",12
"704","03/10/2021 05",11
"705","03/10/2021 06",14
"706","03/10/2021 07",18
"707","03/10/2021 08",20
"708","03/10/2021 09",22
"709","03/10/2021 10",20
"710","03/10/2021 11",16
"711","03/10/2021 12",17
"712","03/10/2021 13",16
"713","03/10/2021 14",14
"714","03/10/2021 15",12
"715","03/10/2021 16",12
"716","03/10/2021 17",15
"717","03/10/2021 18",13
"718","03/10/2021 19",14
"719","03/10/2021 20",13
"720","03/10/2021 21",19
"721","03/10/2021 22",16
"722","03/10/2021 23",16
"723","03/10/2021 24",14
"724","03/11/2021 01",30
"725","03/11/2021 02",31
"726","03/11/2021 03",30
"727","03/11/2021 04",24
"728","03/11/2021 05",33
"729","03/11/2021 06",35
"730","03/11/2021 07",36
"731","03/11/2021 08",38
"732","03/11/2021 09",48
"733","03/11/2021 10",48
"734","03/11/2021 11",46
"735","03/11/2021 12",41
"736","03/11/2021 13",38
"737","03/11/2021 14",36
"738","03/11/2021 15",28
"739","03/11/2021 16",24
"740","03/11/2021 17",23
"741","03/11/2021 18",36
"742","03/11/2021 19",43
"743","03/11/2021 20",47
"744","03/11/2021 21",40
"745","03/11/2021 22",38
"746","03/11/2021 23",37
"747","03/11/2021 24",41
"748","03/12/2021 01",23
"749","03/12/2021 02",29
"750","03/12/2021 03",29
"751","03/12/2021 04",31
"752","03/12/2021 05",30
"753","03/12/2021 06",32
"754","03/12/2021 07",34
"755","03/12/2021 08",31
"756","03/12/2021 09",34
"757","03/12/2021 10",51.5047978621496
"758","03/12/2021 11",51.5047978621496
"759","03/12/2021 12",51
"760","03/12/2021 13",41
"761","03/12/2021 14",34
"762","03/12/2021 15",26
"763","03/12/2021 16",21
"764","03/12/2021 17",21
"765","03/12/2021 18",35
"766","03/12/2021 19",36
"767","03/12/2021 20",34
"768","03/12/2021 21",34
"769","03/12/2021 22",32
"770","03/12/2021 23",32
"771","03/12/2021 24",35
"772","04/01/2021 01",42
"773","04/01/2021 02",47
"774","04/01/2021 03",47
"775","04/01/2021 04",45
"776","04/01/2021 05",49
"777","04/01/2021 06",49
"778","04/01/2021 07",45
"779","04/01/2021 08",47
"780","04/01/2021 09",47
"781","04/01/2021 10",48
"782","04/01/2021 11",51.5047978621496
"783","04/01/2021 12",51.5047978621496
"784","04/01/2021 13",47
"785","04/01/2021 14",45
"786","04/01/2021 15",37
"787","04/01/2021 16",30
"788","04/01/2021 17",29
"789","04/01/2021 18",50
"790","04/01/2021 19",51.5047978621496
"791","04/01/2021 20",51.5047978621496
"792","04/01/2021 21",51.5047978621496
"793","04/01/2021 22",35
"794","04/01/2021 23",26
"795","04/01/2021 24",20
"796","04/02/2021 01",43
"797","04/02/2021 02",39
"798","04/02/2021 03",30
"799","04/02/2021 04",34
"800","04/02/2021 05",39
"801","04/02/2021 06",40
"802","04/02/2021 07",43
"803","04/02/2021 08",41
"804","04/02/2021 09",47
"805","04/02/2021 10",51.5047978621496
"806","04/02/2021 11",51.5047978621496
"807","04/02/2021 12",51.5047978621496
"808","04/02/2021 13",33
"809","04/02/2021 14",21
"810","04/02/2021 15",14
"811","04/02/2021 16",14
"812","04/02/2021 17",16
"813","04/02/2021 18",26
"814","04/02/2021 19",51.5047978621496
"815","04/02/2021 20",38
"816","04/02/2021 21",31
"817","04/02/2021 22",38
"818","04/02/2021 23",51.5047978621496
"819","04/02/2021 24",50
"820","04/03/2021 01",20
"821","04/03/2021 02",16
"822","04/03/2021 03",30
"823","04/03/2021 04",44
"824","04/03/2021 05",34
"825","04/03/2021 06",49
"826","04/03/2021 07",51.5047978621496
"827","04/03/2021 08",51.5047978621496
"828","04/03/2021 09",51.5047978621496
"829","04/03/2021 10",51.5047978621496
"830","04/03/2021 11",51.5047978621496
"831","04/03/2021 12",22
"832","04/03/2021 13",24
"833","04/03/2021 14",23
"834","04/03/2021 15",19
"835","04/03/2021 16",17
"836","04/03/2021 17",16
"837","04/03/2021 18",25
"838","04/03/2021 19",32
"839","04/03/2021 20",25
"840","04/03/2021 21",29
"841","04/03/2021 22",33
"842","04/03/2021 23",32
"843","04/03/2021 24",30
"844","04/04/2021 01",26
"845","04/04/2021 02",31
"846","04/04/2021 03",32
"847","04/04/2021 04",29
"848","04/04/2021 05",28
"849","04/04/2021 06",29
"850","04/04/2021 07",30
"851","04/04/2021 08",28
"852","04/04/2021 09",29
"853","04/04/2021 10",31
"854","04/04/2021 11",33
"855","04/04/2021 12",32
"856","04/04/2021 13",15
"857","04/04/2021 14",9
"858","04/04/2021 15",9
"859","04/04/2021 16",11
"860","04/04/2021 17",11
"861","04/04/2021 18",13
"862","04/04/2021 19",15
"863","04/04/2021 20",19
"864","04/04/2021 21",21
"865","04/04/2021 22",19
"866","04/04/2021 23",22
